COMPANY_NAME,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
ROYAL BANK OF CANADA,46719338.3,50799620.94,45854745.72,52527790.74,41934699,46934953.08,41870493.07,50113221.57,44669039.34,50697828.21,46044355.05
"NBC UNIVERSAL MEDIA, LLC",39196238.56,47113956.31,42102965.49,52563552.81,44417446.88,51853520.46,45190290.83,53710960.93,41511335.09,54025568.66,49495131.25
RAKUTEN BANK LTD.,39690208.23,41757728.44,42871826.22,48419669.97,49289736.94,55318122.1,49080906.36,45696670.78,45405638.71,47686124.7,50638935.5
AIG,58221860.37,67102273.63,50478764.11,45199429.66,34768775.88,39086067.68,37561418.9,44647689.51,34075949.96,37303682.92,35623629.06
TIME WARNER INC.,36735619.26,44245102.01,38667895.19,45897271.23,44440305.94,51283751.23,47252875.29,53152980.03,46784209.78,63066442.42,67323343.82
EL DUPONT DE NEMOURS,47542307.25,52233572.96,48405759.04,45438048.62,34369044.02,43438239.68,38984120.58,52094061.43,43638557.61,51811353.21,49501976.58
"NETJETS SERVICES, INC. (FORMERLY EXECUTIVE JET)",44106539.28,43233924.16,45742489.25,40463343.53,44691936.94,43744350.34,45025384.62,42899183.98,43952209.57,42079506.22,41323473.69
ADOBE SYSTEMS INC.,39369113.84,44170655.5,42438905.84,44699914.78,42761934.37,45023218.75,40442232.37,45484438.7,47376588.99,47548182.64,47752518.73
"VMWARE, INC",35845168.01,42927582.68,43399763.26,46822929.93,37314041.91,44713607.77,44542766.63,55741526.93,39112964.26,49164730.51,53050731.43
MONSANTO,37926739,36611634.12,46441131.17,41229417.56,40090762.7,39296590.67,55105785.72,46142460.9,46675117.7,46479476.12,59661900.83
"MERIAL, INC.",45118980.25,56960259.68,53302872.37,56665442.54,55376439.18,63686160.52,31968328.3,7394852.82,6854266.72,8299687.49,8458522.9
"FACEBOOK, INC.",27539771.79,35251637.44,35688388.38,44874431.73,36897858.32,43256694.47,44363464.14,58003980,49314737.18,60385463.81,61596861.94
"ALCATEL-LUCENT USA, INC.",49285951.58,50037935.86,38832795.62,47792788.52,39310200.6,39009678.72,34883005.65,43698921.35,30433991.72,35245288.38,29884915.66
BAXTER HEALTHCARE CORPORATION,40859299.45,48594753.41,43886820.5,48339124.38,41235461.15,47669230.84,31200145.88,27676619.76,23684268.75,27514493.26,26369649.48
AKZO NOBEL SOURCING B.V.,35616515.79,42761327.01,37542377.59,44283505.26,33300503.58,40758341.84,36926538.23,44655396.73,34649374.24,38063748.99,32014698.25
DIAGEO GREAT BRITAIN LIMITED,34839142.43,52315047.44,34817759.23,52394790.96,32577726.63,48311189.4,27204690.13,36658198.8,30129658.03,55871968.16,34294301.72
BECHTEL GLOBAL CORPORATION,33877331,40887926.39,36581092.86,45230704.03,35902316.46,38792287.23,39909246.2,45247816.99,31696428,37475220.77,35130932.04
BLACKROCK,35623045.55,40316135.36,34561962.85,52265809.29,34208188.54,35832584.03,34407611.16,48390031.87,31507898.98,32471721.38,34890327.66
"CARDINAL HEALTH 5, LLC",34291236.42,41899296.59,32622364.41,36808416.85,37683731.91,43917987.23,38254623.86,40948074.83,39190598.9,44903833.12,41902890.82
"PPG INDUSTRIES, INC",35914098.21,38082884.64,36429336.26,41687135.01,34016204.1,40751027.1,36535518.81,41354984.71,33793624.46,40620520.44,38092511.36
"BAE SYSTEMS, INC.",36500081.75,38211470.49,38338795.13,38670026.45,33580394.32,38959508.73,36902399.64,38495493.13,36876604.88,39797752.57,40274193.03
MAYO FOUNDATION,34494655.67,33978193.89,31425045.88,42750192.5,40715339.08,37288824.49,31563396.38,42305472.2,40540965.65,39168931.41,34198527.14
ILLINOIS TOOL WORKS INC.,31629408.73,34877127.78,32330241.51,34466167.74,33437832.75,38012581.62,37543805.6,43614858.69,41893628.8,45156708.63,41613033.93
COMPUTER SCIENCES CORPORATION,46400202.22,49581880.76,47645978.65,37797300.91,33272074.35,33009560.8,24631805.68,26080473.27,21553399.74,23790564.22,21966551.15
"SIX CONTINENTS HOTELS, INC.",32727978.66,36075896.61,36788331.54,37477867.06,32736574.47,38291051.11,35141201.83,36164726.31,31489862.73,37719457.95,40726913.48
INGERSOLL-RAND COMPANY,36839968.71,40731505.88,30758447.8,28384792.43,33667305.77,39700026.22,32404458.65,34920559.55,39357968.98,43490585.27,33428969.5
"KIMBERLY-CLARK SERVICES, INC",30956063.68,36982966.45,32468213.3,34592844.67,32746867.2,39342347.3,33008281.16,38690253.47,36166091.33,41808286.38,25159408.01
MONDELEZ GLOBAL LLC,34878911.51,40752320.99,34063519.65,34217292.34,30697402.41,33879632.1,33633820.29,38201765.69,32724786.67,34008977.49,32019295.85
AETNA LIFE INSURANCE COMPANY,31052259.84,40306527.17,34018417.59,39856190.17,31939414.06,39715263.81,32210406.7,34198052.52,26843920.37,33722626.88,33114620.61
UNITED RENTALS,33024682.72,33804830.53,33168069.85,36845602.45,30937448.14,34123980.77,34879923.93,37851092.01,35243467.97,38582232.56,39581101.09
ABB INC,33405377.54,35526761.38,30027877.23,35275097.61,31061913.18,36618019.65,33471312.66,36374229.17,35014006.66,39233427.28,33333409.61
"INVENTIV HEALTH, INC.",22449975.06,28473307.09,28807267.93,34111848.98,36270561.83,40742475.64,41273880.56,40845403.5,33724236.42,37037636.73,32286243.59
CORNING INCORPORATED,31845177.14,35053033.61,32614109.33,35857521.46,30483328.72,33347558.37,32063783.79,41240685.46,33483072.02,49190818.09,44481090.67
THE REGENTS UNIVERSITY OF MICHIGAN,32031081,38528434.86,28208525.91,34571643.44,33726429.2,40402416.68,29037878.8,33440383.38,34641484.35,41982001.35,29266777.34
MARS INFORMATION SERVICES,32140402.6,36565788.45,33586433.84,36422799.29,32140759.48,37350789.65,30245516.33,35396147.4,28566366.45,33658594.26,26917674.79
APPLIED MATERIALS,29434303.32,32335599.05,32089456.96,32318091.35,31080107.75,35813777.45,35629170.18,36220659.93,36023461.68,41519697.69,43832841.49
INTERPUBLIC GROUP,30048720.24,34465822.17,31187550.03,35524809.21,33910018.69,35591972.1,31445921.83,33916396.66,34575214.81,36888278.56,30378930.48
TEXTRON,26566725.24,32358724.7,32645803.03,36318806.18,32428802.84,35527074.84,33315606.96,35609221.1,31908247.53,35207905.42,35199020.34
NOVARTIS PHARMACEUTICLES CORPORATION,27286948.45,34833894.47,32679277.81,41352020.13,27837157.18,28083658.61,27945954.65,37606431.7,39046878.75,46179554.74,43431433.05
MACQUARIE GROUP SERVICES AUSTRALIA PTY LIMITED,31780325.7,35310223.14,33392346.77,37055884.96,28622575.44,33129620.56,28368667.21,32186359.97,26716544.16,35603915.16,31950861.95
"ADP, LLC",33692836.04,38079801.85,28645187.57,26365279.84,27912501.34,32642610.84,29277897.99,34453333.31,33027675.13,38985915.53,32683543.48
CELGENE,26652739.9,36226123.24,29463739.48,36703179.87,28378159.52,32240135.42,28222760.38,35454880.88,30048012.99,34825923.2,33633933.77
"DAVITA HEALTHCARE PARTNERS, INC.",22065404.7,26922941.38,27914253.27,37300793.94,26999064.41,31681817.03,33806060.97,43359579.55,30846196.31,33673725.44,35150530.08
"BOOZ-ALLEN & HAMILTON, INC.",33553105.27,34769857.28,31233424.21,31113216.03,30111365.36,28222305.42,27924073.72,29653944.05,33326287.77,32304686.71,32860716.91
SHERWIN WILLIAMS,27425948.13,32762875.67,29063770.89,30728384.6,27924466,34208357.14,33635714.5,32952142.63,28212663.57,33303573.02,32202928.45
IKEA IT AB,25051669.99,30236239.89,25885148.35,30642240.83,27912308.71,35901080.51,30184940.05,34510927.42,33106249.27,39564280.48,37768966.06
"BBU, INC.",35771161.27,34544170.02,36864140.43,35435401.94,32771108.53,32311158,33106220.71,17649022.47,14885745.4,13591628.67,12933881.22
"SODEXO OPERATIONS, LLC",25839820.03,28550496.53,29243721.75,31705234.88,29010028.11,31406333.83,30687393.06,31879658.58,31065724.13,33304394.75,32729895.28
"CUMMINS, INC.",26574761.07,30198371.85,30438737.69,21560095.72,24843070.81,31506656.2,33858380.04,34859780.55,35468814.52,42622024.34,41431476.89
HCA MANAGEMENT SERVICES,23662451.84,30566765.87,29347162.98,32538191.15,25258237.93,31446911.19,29412263.95,33345980.14,28315292.29,32666249.09,30226314.25
WILLIS NORTH AMERICA INC.,27537420.38,30383469.84,27914000.99,33682904.5,27772840.69,30740005.99,26287514.1,30232204.52,27281408.14,21204630.36,5099192.67
BECTON DICKINSON AND COMPANY,25277797.35,28171372.57,29023113.34,26703103.17,27879845.64,29986178.68,33139683.83,28737232.97,30583750.75,19121962.61,8189470.77
"VALLEN DISTRIBUTION, INC.",20736853.87,25652438.84,27097916.9,32202962.75,28915179.45,32611864.03,34743825.5,21122871.44,33312435.54,37253907.07,36013540.95
TAKEDA PHARMACEUTICALS INTERNATIONAL AG,31310335.75,27857552.4,25100379.82,26104989.03,26437329.64,26903282.46,23660158.92,32825002.46,35949469.79,36693425.5,40002444.72
"S&P GLOBAL, INC",24878918.38,30662772.94,25690424.23,33266906.32,23445563.34,30022326.72,27220678.75,37056714.14,23268997.84,29346004.79,24552974.43
KIEWIT CORPORATION,31380596.67,34456860.73,33438284.61,30470763.93,27973253.21,23582320.4,23963781.35,23748338.81,23545126.31,23807451.87,25042964.24
MOLSON COORS BREWING COMPANY,23251972.6,28963084.49,27919376.25,31524041,25348350.17,32441537.99,27959898.21,29449629.54,24841806.8,27778761.26,27661908.83
"ROCKWELL COLLINS, INC.",26049866.2,28265002.44,30772988.14,27718247.2,28061251.78,31659887.88,29578128.47,24742640.83,24763314.18,29418398.88,29779739.16
ARAMARK CORPORATION,25424091.96,27294487.89,25903181.16,28639119.57,26877160.65,29295067.1,31063031.25,29164866.73,27597053.71,30496702.43,31903543.99
SEARS HOLDINGS MANAGEMENT CORPORATION,28438327.13,30919888.56,31566576.67,32102481.44,25889720.16,26400737.16,27248257.86,25702963.14,22537965.01,25902959.35,24864795.48
"LOREAL USA, INC.",22239680.47,27015054.72,27239151.45,26683035.04,25784828.28,31290402.85,28769293.77,34451976.26,25991401.71,31848540.34,9504025.8
BNSF RAILWAY,26789854.58,32559216.31,31887442.44,30844436.52,25131639.5,26469531.11,26640368.24,26170400.07,21529343.23,23606136.2,23151107.21
REGENTS OF THE UNIVERSITY OF COLORADO,23977895.6,31569961.39,22133711.8,27341600.63,24671900.32,31849114.35,23572084.25,28131737.93,26804026.41,33407959.41,24374577.51
"AUTODESK, INC",25630554.27,32158046.2,24888230.61,26116886.07,23562933.52,28638439.26,22653563.77,29727438.24,25773503.37,32698682.75,23038038.25
T-MOBILE,17057245.85,20282678.08,22287800.96,28668672.29,24463711.27,29409490.5,32243159.11,31407462.2,30990374.48,33634731.03,35121534.33
"STANLEY BLACK AND DECKER, INC.",22614019.92,26147872.03,22481122.15,24752516.8,23846272.99,28078962.01,27429362.85,31431655.4,29414515.24,36959574.5,34982512.74
V.F. SERVICES,22741200.26,26776532.88,28343284.92,31442529.96,24853177.57,25958078.26,24808945.97,27837305.84,22442257.53,24671257.39,24624862.23
"FISERV, INC",22698909.12,28076219.04,24569570.68,27562506.35,23784557.47,28240942.25,25660317.73,26867814.55,23363861.66,28207620.62,24407354.47
NATIONWIDE MUTUAL INSURANCE COMPANY,25322458.68,30927310.82,28815943.36,31893889.25,21106755.35,23275469.57,20786710.59,25984449.61,19203916.8,22346774.39,19818941.53
FCA US LLC,22492803.77,24769975.28,23007499.95,24682416.8,24073652.54,27423208.94,25590711.8,28511697.82,26006196.51,27861246.96,26649904.99
LIFE TECHNOLOGIES (FORMERLY APPLERA EUROPE B.V.),19795931.97,22759408.72,21283935.87,24981577.7,20173299.77,20975441.05,18867927.03,32302525.36,41915032.59,48053338.7,49130789.74
ARCONIC INC.,27020129.93,30009308.22,27362625.61,29281006.48,21572068.09,23847390.89,24042239.38,21258050.72,16757546.72,14310878.3,14446819.18
BNP PARIBAS SA,15990246.03,20458439.21,16893523.85,25772099.58,23313885.62,27805982.69,24545763.58,35979002.45,27272393.64,30628803.51,26384340.32
AGILENT,21133651.48,22819223.51,21715371.92,24488081.33,22958854.71,23941739.68,24642436.91,26914827.2,27014099.92,31548152.73,29826706.75
SAINT-GOBAIN CORPORATION,24638392.72,26374446.14,24402939.24,22914104.83,22628687.71,23533518.86,21844105.99,23801891.78,23641325.76,25391590.22,24996823.77
ADIDAS AG,18092379.65,22485260.09,22704746.93,22737253.77,20565560.42,27923248.1,26124575.78,28491979.98,23355800.38,30124904.75,27704021.33
EDWARDS LIFESCIENCES LLC,18453787.08,21663418.17,22133596.06,26183918.87,22901981.75,25663908.34,23342573.61,28909527.82,23141294.08,26104179.51,25654608.27
"CAREFUSION 303, INC.",22364368.48,22833291.16,23454757.04,22694522.43,23675577.66,26639000.41,27445130.74,20876333.77,19411821.4,9599604.07,2734234.96
TARGET CORPORATION,22849711.33,21486143.19,22819516.9,28605324.7,21906443.44,21596367.82,21034327.13,26979467.11,19864190.58,21145967.3,22074204.38
SYMANTEC CORPORATION,28976033.74,33575911.78,36894274.92,21003418.88,17006334.39,15366656.25,13983877.61,15949784.37,21176375.21,19584220.15,20312763.35
SHIRE PHARMACEUTICALS LLC,16212254.5,21976941.55,19094153.13,20240670.69,19174244.31,25023104.49,26929832.92,30808254.44,22949492.75,25147284.92,21063231.7
NOKIA SOLUTIONS AND NETWORKS,14442492,18290523.43,18734714.48,24816794.36,20043366.69,23402842.51,24160690.29,33943727.92,23238089.29,27658402.36,28466724.75
"BIOMET, INC.",20192461.29,17775056.73,15387360.77,24451224.23,27958662.9,28280781.39,24264722.43,23257644.14,18924021.79,21995721.04,22104378.75
"VARIAN MEDICAL SYSTEMS, INC.",20312269.96,23063245.96,24254893.65,21852186.05,19436357.84,22291572.63,22262118.01,24016704.24,21569909.2,23709889.93,20794172.96
THERMO FISHER SCIENTIFIC INC.,21778330.09,25978483.72,24848614.47,27996950.29,26633513.43,27960994.91,25259610.33,14975705.64,2272860.58,2316146.13,2211644
TEXAS INSTRUMENTS INCORPORATED CTE,20357643.55,23522597.21,21807124.08,23111366.2,19440558.03,22127171.37,21571499.06,23233972.98,20540579.76,23571575.4,22071713.53
CINTAS CORPORATION,18125825.27,19720346.09,21058104.7,21127253.12,20363463.05,21569680.39,23610824.81,23374258.56,21744576.95,23047677.46,26793112.36
MANULIFE,16015746.4,21118330.85,18843012.95,25997988.9,19306178.93,24790138.9,20401594.05,23227881.36,17508693.58,23027833.42,20368151.64
"EBAY, INC.",27001015.5,34246515.36,18895516.07,21142619.07,16921494.06,18955883.98,16067168.43,15596055.8,14198166.76,17002761.3,15949537.95
GILEAD SCIENCES INC.,20593374.87,24867358.86,20363620.45,21197100.46,16305298.23,19585626.82,17924809.37,21966128.75,16508524.41,19728294.25,17771061.39
JEFFERIES LLC,16823654.2,19023340.66,19510116.11,23791985.35,18520025.84,20848147.23,17425681.27,20732379.65,21101919.56,20804437.12,19141800.21
LAND O LAKES INC,18202347.87,18692705.92,18666443.64,19286538.21,19986204.54,19674299.8,21854089.96,20845960.02,19692486.95,19333439.98,20068436.5
HOSPIRA,20188112.8,25928241.45,25280751.77,24230205.74,16747729.38,17887050.59,16771155.16,18840436.7,10670306.49,3595036.52,1383642.06
TRW AUTOMOTIVE U.S. LLC,17873890.3,19970844.44,18742228.75,17932772,18150095.75,21544877,18431641.65,22819241.81,20882933.62,22714241.21,21978574.64
"GENPACT INTERNATIONAL, INC. ON BEHALF OF CIGNA CORPORATION",16590358.98,20989938.59,18678247.68,22437100.02,20426648.71,23734686.62,15620550.75,18131077.81,19679021.2,21723320.92,18348863.05
DSM BUSINESS SERVICES B.V.,14381413.35,17108160.9,15953923.2,20468631.03,17359727.12,21189194.46,19521211.85,25891048.64,23684359.37,25910530.44,24956981.38
AVNET,20251649.12,23097415.86,19068133.85,21703718.8,18579909.24,22914777.17,15387839.15,18295109.16,16197252.46,20045023.18,14979324.96
"CHARLES SCHWAB & COMPANY, INC",16662318,21053604.22,16736997.83,19811783.14,18510214.77,22399972.32,19219305.02,20093595.25,19417626.54,24014008.15,22459558.49
ADS ALLIANCE DATA SYSTEMS,16469115.97,18651495.22,16941802.47,20896371.28,17756749.7,20377235.4,19897981.83,23198306.06,19703088.68,21212096.3,20846084.36
ASTELLAS US LLC,18705939.54,17722040.67,18033881.98,18765524.42,21014345.81,19009676.04,19036717.54,20330145.87,20773579.22,19302869.56,16516902.34
"MCGRAW-HILL GLOBAL EDUCATION HOLDINGS, LLC",19044574.05,21570136.25,18936548.46,21709994.58,18519686.45,19332707.63,16997142.32,18839103.2,17536319.51,16085072.48,16191034.76
CHICAGO BRIDGE & IRON COMPANY,19100525.04,22503353.37,21471616.15,21185749.11,17515705.77,17312756.3,16506642.17,17738002.95,14938131.72,15563344.98,13815581.53
"VALEANT PHARMACEUTICALS NORTH AMERICA, LLC.",12138528.69,16396349.96,19118550.48,21831450.04,17115607.28,18482252.92,17984208.22,24372041.02,20293126.29,22838066.65,21299561.01
ARTHUR J GALLAGHER & CO,15702770.62,19292761.54,18600525.31,20138469.74,18183224.6,20676475.57,19280144.59,18389415.79,17375118.55,21265244.87,19388971.3
WESTROCK COMPANY,17166928.23,17408703.43,18616344.57,19061176.45,17899688.77,17954340.68,20125944.81,20206492.17,19183758.55,21591495.89,28510758.02
TYCO FIRE & SECURITY GMBH,14033549.39,15006273.1,12550449.31,17255021.3,16318547.05,18429506.4,22119839.58,26708137.76,24777733.37,26013915.91,23860575.55
"NATIONAL OILWELL VARCO, L.P.",25062031.22,22783706.9,21140243.35,19092468.13,15769082.04,15407410.69,14384833.99,15332125.66,14736439.29,18127563.29,17567562.38
DELPHI AUTOMOTIVE SYSTEMS LLC,14830144.12,17562365.74,15675791.83,17612848.19,18311377.19,20822812.34,19515971.98,20084647.37,19242494.55,23085892.04,23831422.28
ELECTROLUX,16416134.05,17629737.84,15974409.46,19477522.17,17256172.6,19902313.85,17023556.54,20945564.24,17744976.42,18454405.51,17605153.26
COOK GROUP INC.,14619083.77,18570260.34,16786533.57,19841221.83,15454637.04,19515845.61,19198921.51,22355458.41,15309780.01,18053486.16,14231659.92
DANFOSS A/S,14505543.73,17531431.78,15698369.02,20702113.87,15056810.1,19592598.46,16567268.49,24098584.53,16771071.12,20860157.97,17203412.93
EMBARQ MANAGEMENT COMPANY (CENTURYLINK),17976101.97,21165819.17,18253951.31,15474481.77,16397931.25,18615917.5,17688312.92,18047605.48,16658749.5,18979537.33,17041419.03
BASF,17501283.06,21981915.51,20038459.58,21289947.61,13799662.01,15845103.67,15469444.5,19909049.76,14082000.4,17982001.97,17163337.06
PAREXEL INTERNATIONAL LLC,18052056.88,21593170.23,16581829.02,18197080.41,16267882.21,19455023.46,16828914.03,18259366.23,14305280.49,16523905.51,13231693.36
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,15808593.56,20412105.23,16731837.83,17164962.02,17157550.05,21245507.98,15532520.65,17437841.16,17960219.83,21956939.61,15800102.12
"JUNIPER NETWORKS, INC",15101008.2,18690970.95,17145513.12,22097900.8,16650261.2,19497128.83,16845276.77,18879985.36,14328423.1,18038177.14,16092292.81
AVON,18153232.68,18332896.02,17158093.68,19279272.72,15748195.14,18670527.97,17400532.7,19375467.5,14897265.87,15483667.76,14248663.91
SEALED AIR CORPORATION,12556258.7,14031505.73,14126881.27,16138283.11,17664015.65,21736077.73,18734927.58,23944474.64,18282031.05,18107583.1,17505789.75
"GENERAL MILLS SERVICES, INC.",15795086.44,20789319.38,16180008.45,19350217.96,17451571.84,21014227.75,15796770.13,16870509.73,13746026.14,15492964.92,14107513.82
"CONTINENTAL TIRE THE AMERICAS, LLC",15672463.57,17516904.58,16588529.37,17137294.38,16450783.59,18813832.94,16999930.27,19384615.04,17102238.58,19098592.39,18709499.58
"AXALTA COATING SYSTEMS, LLC",15632207.99,17406599.12,15649237.16,18517294.14,15614432.29,18125567.2,17332562.42,18747170.82,17931797.47,20604516.39,18749984.28
"ALVAREZ &AMP; MARSAL HOLDINGS, LLC",15918674.23,16551941.6,17033817.72,16922563.97,15717691.87,18500471.03,17830844.87,18065951.97,16562747.27,18072994.69,18472771.53
"EMD SERONO, INC",12813799.38,16809895.05,14396750.84,17930274.89,15269357.44,18719486.8,17301374.43,20145435.26,18468115.61,21582639.39,8850323.6
THE HEARST CORPORATION,15398389.77,17087786.96,15155293.62,18707515.2,15909104.15,17976631.59,16016186.95,18092568.39,16931107.53,18550277.52,16378735
ASML NETHERLANDS BV,11333108.74,13846871.26,14167452.07,18369739.86,15977912.6,18479480.12,18372409.8,21748440.13,17514705.12,21127051.93,22443851.53
GENUINE PARTS COMPANY,14996659.85,15733949.65,15312080.11,16155410.49,16008239.58,18117404.72,17366589.99,17929853.61,17496440.63,18600270.49,17530756.25
"QUEST DIAGNOSTICS, INC.",16381312.51,17377868.06,15336252.86,17095192.53,16493657.99,16131219.81,15044036.36,16443527.32,17295932.84,19484411.22,16285721.8
SOLARCITY CORPORATION,12332083.94,16274473.04,18363777.39,22706522.17,18279489.4,17829411.24,16192584.05,14304748.51,10534043.68,8683628.59,7741363.64
